uuid,institutioncode,collectioncode,provider_lat,aggregator_lat,provider_lon,aggregator_lon,provider_country,aggregator_country,aggregator_stateprovince,aggregator_county,aggregator_locality
2c475317-1113-4dca-a32c-9f7673026a98,fmnh,mammals,31.3999996,24.8666706,24.8666706,31.3999996,Egypt,egypt,matruh,NA,"salum, sidi omar"
30fe1434-1e75-45e2-97d4-84520e0d1f90,fmnh,mammals,-88.107013,41.86614,41.86614,-88.107013,USA,united states,illinois,dupage co.,wheaton
334800d8-7f2f-472a-92ac-d242e6b4f2bc,fmnh,mammals,-88.090019,41.719872,41.719872,-88.090019,USA,united states,illinois,will co.,"naperville, 25 w. 540 royce rd."
33551039-8928-43fe-be46-26a2fb0f0150,fmnh,invertebrate zoology,-73,-41.67,-41.67,-73,Chile,chile,NA,NA,"chaica, senode reloncavi, llongothue"
37c644b4-b1d8-4ab4-8a82-306502700307,fmnh,mammals,-89.97818,42.080535,42.080535,-89.97818,USA,united states,illinois,carroll co.,"mt. carroll, 1 mile south of mount carroll"
38e73860-a1ee-4585-8687-945cdec490ca,fmnh,mammals,-87.646166,41.89542,41.89542,-87.646166,USA,united states,illinois,cook co,NA
39c28ede-a1a2-4654-b530-62b926b522c6,fmnh,mammals,-88.087747,42.636849,42.636849,-88.087747,USA,united states,wisconsin,kenosha co,"kansasville, 23000 burlington rd., 53139"
3dc63226-5b38-47f0-b02d-ce6c1e99baea,fmnh,mammals,-88.087747,42.636849,42.636849,-88.087747,USA,united states,wisconsin,kenosha co,"kansasville, 23000 burlington rd., 53139"
40f45ef7-1fc3-430e-9b84-d198ef87124a,fmnh,invertebrate zoology,-70.012086,43.742961,43.742961,-70.012086,United States of America,united states,maine,cumberland,south harpswell
40f67eb5-f34a-481c-a92a-d57aef28b45f,fmnh,invertebrate zoology,-73.98721,40.294983,40.294983,-73.98721,United States of America,united states,new jersey,monmouth,long branch
419092db-710b-4823-9ada-cef1dc27d413,fmnh,mammals,-87.67913,41.968745,41.968745,-87.67913,USA,united states,illinois,cook co.,"chicago, damen and lawrence"
422e0874-3c59-4e97-8838-ab0faed00b16,fmnh,mammals,-87.968099,42.273935,42.273935,-87.968099,USA,united states,illinois,lake co.,"libertyville, 911 creastfield ave."
46e7dca6-bd0f-4710-a2ae-066e47a96e59,fmnh,invertebrate zoology,-73,-41.6667,-41.6667,-73,Chile,chile,NA,NA,"llangothie, senode, relocnavi, chaica"
4b6340c2-8d61-4f06-8539-0c174cd03f3b,fmnh,mammals,75,38,38,75,China,china,xinjiang uygur,kashi pref,"taxkorgan tajik aut co, near little kara kul, 'subashi' pass"
4c5a8228-8b47-4c9b-b7b7-8a4748061691,fmnh,mammals,-88.058783,41.790922,41.790922,-88.058783,USA,united states,illinois,dupage co.,"lisle, 5321 westview, 60532"
4f4ecf74-48cd-4d44-bbec-117ce36cc805,fmnh,mammals,-89.869212,42.250559,42.250559,-89.869212,USA,united states,illinois,stephenson co.,near pearl city-loran/nw
4f56899f-6bfd-482a-89e8-d47f31ca6b73,fmnh,mammals,-88.107013,41.86614,41.86614,-88.107013,USA,united states,illinois,dupage co.,wheaton
5c836443-dfbc-4298-a0b9-499f587117b9,fmnh,mammals,-88.056212,41.881469,41.881469,-88.056212,USA,united states,illinois,dupage co.,"glen ellyn, 735 cresent blvd."
6385b5e2-4219-4154-a4b1-aee2e297f0ee,fmnh,mammals,-88.050341,41.746975,41.746975,-88.050341,USA,united states,illinois,dupage co.,woodridge
65b73f92-d0a6-4d95-b2ac-e9f9dcf703fc,fmnh,mammals,-87.646166,41.89542,41.89542,-87.646166,USA,united states,illinois,cook co,NA
